CRN,semester_code,course_code,section_code,instructorID
1000,202501,C0196,D,94
1001,202501,C0177,C,12
1002,202401,C0060,C,69
1003,202502,C0014,C,98
1004,202504,C0068,C,19
1005,202303,C0028,C,46
1006,202403,C0052,D,57
1007,202103,C0162,D,83
1008,202303,C0170,C,78
1009,202503,C0178,A,56
1010,202402,C0160,C,93
1011,202503,C0136,D,21
1012,202404,C0121,A,92
1013,202201,C0197,A,10
1014,202203,C0167,C,88
1015,202304,C0051,B,76
1016,202501,C0189,C,5
1017,202101,C0186,C,64
1018,202001,C0005,A,28
1019,202203,C0054,C,36
1020,202501,C0057,C,66
1021,202504,C0009,C,78
1022,202004,C0065,B,46
1023,202104,C0197,D,60
1024,202303,C0018,C,67
1025,202204,C0200,C,25
1026,202502,C0097,C,48
1027,202302,C0199,D,45
1028,202103,C0002,D,60
1029,202404,C0065,A,63
1030,202103,C0126,D,82
1031,202002,C0098,C,27
1032,202003,C0145,A,76
1033,202504,C0044,A,44
1034,202201,C0083,B,59
1035,202304,C0191,D,62
1036,202204,C0187,C,46
1037,202501,C0007,B,88
1038,202102,C0159,B,66
1039,202104,C0139,B,9
1040,202001,C0175,D,82
1041,202101,C0088,A,63
1042,202104,C0124,D,65
1043,202504,C0038,D,27
1044,202201,C0046,C,68
1045,202501,C0175,C,18
1046,202101,C0063,A,11
1047,202404,C0140,A,54
1048,202502,C0006,D,46
1049,202203,C0088,C,89
1050,202402,C0197,D,83
1051,202504,C0158,A,64
1052,202003,C0058,B,22
1053,202501,C0003,B,50
1054,202204,C0042,B,42
1055,202103,C0061,C,18
1056,202001,C0046,C,27
1057,202504,C0018,C,96
1058,202304,C0004,A,58
1059,202103,C0023,A,73
1060,202301,C0061,D,95
1061,202102,C0014,C,86
1062,202504,C0024,A,97
1063,202102,C0017,D,68
1064,202004,C0142,D,93
1065,202501,C0020,B,71
1066,202401,C0053,B,95
1067,202302,C0032,B,90
1068,202501,C0160,C,57
1069,202104,C0073,B,82
1070,202204,C0110,A,7
1071,202303,C0138,D,94
1072,202402,C0004,B,57
1073,202101,C0017,A,46
1074,202101,C0093,C,87
1075,202204,C0145,A,70
1076,202501,C0025,C,82
1077,202504,C0189,B,91
1078,202401,C0054,D,50
1079,202003,C0016,B,75
1080,202401,C0097,B,65
1081,202201,C0128,D,31
1082,202201,C0139,C,18
1083,202403,C0014,A,49
1084,202004,C0124,A,94
1085,202402,C0107,B,43
1086,202201,C0174,A,73
1087,202002,C0159,A,12
1088,202101,C0069,C,30
1089,202504,C0064,A,55
1090,202401,C0183,B,82
1091,202001,C0126,D,61
1092,202304,C0183,A,8
1093,202504,C0124,A,87
1094,202404,C0170,B,78
1095,202503,C0018,B,1
1096,202001,C0081,B,72
1097,202102,C0129,B,25
1098,202501,C0096,B,94
1099,202001,C0150,A,50
1100,202403,C0181,B,38
1101,202103,C0004,D,42
1102,202303,C0115,C,99
1103,202502,C0188,B,9
1104,202001,C0158,B,63
1105,202202,C0183,B,60
1106,202301,C0100,A,74
1107,202201,C0129,A,17
1108,202301,C0128,A,48
1109,202202,C0061,C,53
1110,202204,C0031,A,99
1111,202104,C0032,A,25
1112,202303,C0181,D,31
1113,202402,C0009,B,34
1114,202504,C0068,C,10
1115,202403,C0106,C,42
1116,202103,C0091,B,31
1117,202204,C0012,B,85
1118,202004,C0029,C,56
1119,202202,C0052,C,97
1120,202404,C0192,C,25
1121,202203,C0009,A,30
1122,202303,C0180,A,94
1123,202301,C0170,C,77
1124,202403,C0010,B,15
1125,202404,C0011,D,29
1126,202301,C0117,B,39
1127,202001,C0041,C,70
1128,202201,C0054,D,24
1129,202003,C0074,D,75
1130,202504,C0120,D,86
1131,202202,C0128,C,48
1132,202002,C0188,D,56
1133,202001,C0185,C,56
1134,202101,C0065,D,87
1135,202002,C0034,A,18
1136,202401,C0033,D,20
1137,202203,C0149,B,34
1138,202202,C0004,B,33
1139,202503,C0057,A,4
1140,202103,C0102,A,90
1141,202503,C0127,D,22
1142,202002,C0131,A,88
1143,202002,C0193,B,31
1144,202401,C0071,D,6
1145,202004,C0061,D,98
1146,202501,C0124,A,30
1147,202001,C0049,B,12
1148,202104,C0172,B,33
1149,202401,C0029,A,58
1150,202002,C0163,A,11
1151,202503,C0133,B,82
1152,202503,C0005,A,5
1153,202402,C0051,C,73
1154,202202,C0132,B,74
1155,202203,C0064,A,43
1156,202401,C0017,D,51
1157,202004,C0119,B,66
1158,202304,C0172,B,9
1159,202004,C0154,B,37
1160,202201,C0178,A,79
1161,202003,C0056,C,85
1162,202501,C0017,D,97
1163,202002,C0122,A,95
1164,202303,C0028,A,12
1165,202001,C0021,C,5
1166,202201,C0190,B,100
1167,202003,C0130,C,10
1168,202102,C0172,B,60
1169,202102,C0049,D,17
1170,202404,C0020,D,40
1171,202401,C0183,B,38
1172,202301,C0030,D,16
1173,202103,C0155,C,49
1174,202101,C0182,C,28
1175,202002,C0117,D,82
1176,202004,C0185,B,40
1177,202302,C0182,A,60
1178,202404,C0146,D,68
1179,202502,C0129,C,25
1180,202303,C0186,B,53
1181,202502,C0077,C,27
1182,202402,C0157,B,93
1183,202302,C0032,B,43
1184,202002,C0133,D,81
1185,202501,C0113,B,34
1186,202404,C0139,B,94
1187,202102,C0094,D,36
1188,202101,C0120,C,27
1189,202103,C0032,A,28
1190,202401,C0020,B,49
1191,202304,C0107,B,76
1192,202103,C0027,C,70
1193,202102,C0089,C,43
1194,202004,C0149,A,15
1195,202202,C0131,D,60
1196,202101,C0124,A,90
1197,202102,C0087,D,13
1198,202502,C0134,A,43
1199,202304,C0145,D,2
