CRN,semester_code,studentID,course_code,credentialnum,letter_grade
1075,202103,3745,C0052,36,A+
1136,202204,2045,C0197,21,C-
1014,202201,2842,C0145,39,C+
1103,202302,1299,C0044,25,B+
1004,202002,3615,C0196,31,C+
1070,202304,1001,C0059,33,B-
1191,202504,512,C0191,29,A+
1054,202403,2818,C0074,25,B
1134,202003,630,C0152,11,I
1040,202201,4828,C0093,35,B
1001,202503,1731,C0175,38,C+
1093,202302,2360,C0186,19,B+
1158,202203,4511,C0139,13,B+
1172,202102,2494,C0051,7,A
1007,202102,1470,C0064,39,A+
1068,202403,4622,C0025,25,F
1003,202001,2230,C0119,29,B+
1006,202104,4016,C0090,28,A+
1014,202202,3998,C0065,10,B-
1133,202403,1939,C0043,14,D-
1089,202303,2178,C0156,18,A-
1080,202403,4867,C0123,34,C
1048,202404,3063,C0172,15,I
1091,202302,4248,C0007,12,D
1067,202501,2653,C0028,25,B+
1171,202203,4956,C0075,17,C
1018,202501,1429,C0123,33,I
1045,202001,2408,C0118,28,A
1086,202301,4755,C0004,6,I
1106,202402,2141,C0044,19,D-
1181,202301,4295,C0071,37,A
1045,202403,2244,C0172,25,D
1192,202103,2013,C0046,15,A
1117,202404,581,C0081,36,A+
1078,202204,2559,C0083,9,C
1007,202101,267,C0167,4,A-
1151,202003,2954,C0057,5,C+
1184,202003,893,C0103,15,C-
1173,202104,1376,C0169,13,C+
1179,202104,2259,C0086,21,B+
1149,202403,17,C0056,27,C
1049,202003,4334,C0074,9,B
1016,202501,3883,C0026,21,B+
1196,202102,2234,C0124,6,D+
1090,202502,1354,C0191,27,A-
1113,202001,295,C0064,21,C
1091,202402,516,C0068,23,B+
1087,202101,2966,C0087,26,B
1055,202404,248,C0016,6,D+
1076,202104,3473,C0010,35,I
1185,202403,4205,C0002,1,C
1132,202201,1307,C0154,19,A
1106,202004,3929,C0177,38,A-
1154,202302,589,C0040,40,B-
1144,202001,2864,C0009,10,I
1009,202101,4713,C0099,16,B-
1153,202501,4305,C0161,5,B-
1199,202202,2001,C0014,20,I
1148,202404,3217,C0153,40,B
1098,202104,3340,C0101,13,B+
1012,202403,1651,C0100,19,D
1038,202104,2668,C0132,38,D-
1152,202001,497,C0103,38,C+
1128,202304,1291,C0007,39,D
1049,202301,4164,C0182,40,I
1045,202003,1602,C0190,5,F
1035,202102,3924,C0013,1,C-
1104,202402,4228,C0013,30,B-
1050,202302,3155,C0161,40,A+
